"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1","metH",1,0,0,0.5,0,0.5,0,0,0,0,0
"2","mliC",0,1,0,0,0,0,0,0,0,0,0
"3","wcaF",0,1,0,0,0,0,0,0,0,0,0
"4","waaH",1,0,0,1,0,0,0,0,0,0,0
"5","ytfF",0,1,0,0,0,0,0,0,0,0,0
"6","hyfD",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"7","aas",0,1,0,0,0,0,0,0,0,0,0
"8","trmJ",0,1,0,0,0,0,0,0,0,0,0
"9","tmk",0,1,0,0,0,0,0,0,0,0,0
"10","pspF",0,1,0,0,0,0,0,0,0,0,0
"11","psuK",0,1,0,0,0,0,0,0,0,0,0
"12","yfaX",0,1,0,0,0,0,0,0,0,0,0
"13","oxyR",1,0,0,0.5,0,0,0,0.5,0,0,0
"14","ridA",0,1,0,0,0,0,0,0,0,0,0
"15","glnQ",1,0,0,0.333333333333333,0.111111111111111,0.222222222222222,0,0.111111111111111,0.111111111111111,0.111111111111111,0
"16","ddpF",1,0,0,0,0,0,0,0,0,1,0
"17","ydeN",1,0,0.5,0,0,0,0.25,0,0.25,0,0
"18","yeaV",0,1,0,0,0,0,0,0,0,0,0
"19","fruB",1,0,0,0,0,0,0,0,0,1,0
"20","focB",1,0,0.333333333333333,0.166666666666667,0,0,0,0,0.166666666666667,0.333333333333333,0
"21","lgoT",0,1,0,0,0,0,0,0,0,0,0
"22","gmhB",0,1,0,0,0,0,0,0,0,0,0
"23","yaiY",1,0,0,0,0,0,0,0,0.5,0.5,0
"24","ldtB",0,1,0,0,0,0,0,0,0,0,0
"25","ycfJ",0,1,0,0,0,0,0,0,0,0,0
"26","ydcF",0,1,0,0,0,0,0,0,0,0,0
"27","mgrB",0,1,0,0,0,0,0,0,0,0,0
"28","letB",0,1,0,0,0,0,0,0,0,0,0
"29","yodD",0,1,0,0,0,0,0,0,0,0,0
"30","rcsD",1,0,0,0,0,0,0,0,1,0,0
"31","hda",0,1,0,0,0,0,0,0,0,0,0
"32","kbp",1,0,0,0,0,0,1,0,0,0,0
"33","ygaP",0,1,0,0,0,0,0,0,0,0,0
"34","lplT",0,1,0,0,0,0,0,0,0,0,0
"35","yhdN",0,1,0,0,0,0,0,0,0,0,0
"36","yhiJ",0,1,0,0,0,0,0,0,0,0,0
"37","yicN",0,1,0,0,0,0,0,0,0,0,0
"38","yjcB",0,1,0,0,0,0,0,0,0,0,0
"39","qorB",0,1,0,0,0,0,0,0,0,0,0
"40","bglJ",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"41","cheR",0,1,0,0,0,0,0,0,0,0,0
"42","cheW",0,1,0,0,0,0,0,0,0,0,0
"43","dppC",1,0,0,0.222222222222222,0,0.111111111111111,0,0.555555555555556,0.111111111111111,0,0
"44","hslJ",1,0,0,0,0,0,0,1,0,0,0
"45","proP",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"46","rcsA",1,0,0,0,0,0.166666666666667,0.5,0,0.166666666666667,0.166666666666667,0
"47","htpX",1,0,0,0,0,0,0,0,1,0,0
"48","miaA",1,0,0,1,0,0,0,0,0,0,0
"49","proV",1,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.428571428571429,0.142857142857143,0
"50","dinJ",1,0,0,0.2,0.4,0,0,0.2,0,0.2,0
"51","ybfA",0,1,0,0,0,0,0,0,0,0,0
"52","yccA",1,0,0,1,0,0,0,0,0,0,0
"53","ygiW",0,1,0,0,0,0,0,0,0,0,0
"54","yjiA",0,1,0,0,0,0,0,0,0,0,0
"55","yjiX",0,1,0,0,0,0,0,0,0,0,0
"56","btsT",1,0,0,0.5,0,0,0,0.5,0,0,0
"57","recA",1,0,0,0,0,0.5,0,0,0.5,0,0
"58","slt",1,0,0,0,0,1,0,0,0,0,0
"59","ybjX",1,0,0,1,0,0,0,0,0,0,0
"60","ynfB",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0
"61","fadR",1,0,0,0,0,0.5,0,0,0.5,0,0
"62","mdtJ",1,0,0.5,0,0,0,0,0,0.5,0,0
"63","ndh",1,0,0,0.583333333333333,0,0,0,0.416666666666667,0,0,0
"64","oppD",1,0,0.5,0,0,0.5,0,0,0,0,0
"65","yjeJ",0,1,0,0,0,0,0,0,0,0,0
"66","yjgM",0,1,0,0,0,0,0,0,0,0,0
"67","pgpC",0,1,0,0,0,0,0,0,0,0,0
"68","yieP",0,1,0,0,0,0,0,0,0,0,0
"69","yciE",1,0,0,1,0,0,0,0,0,0,0
"70","yciF",0,1,0,0,0,0,0,0,0,0,0
"71","yciG",0,1,0,0,0,0,0,0,0,0,0
"72","mlrA",1,0,0,1,0,0,0,0,0,0,0
"73","fdhF",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"74","nrfD",1,0,0.25,0,0,0,0,0,0.75,0,0
"75","ytfE",1,0,0,0,1,0,0,0,0,0,0
"76","glnL",1,0,0,0.4,0,0.2,0,0.2,0,0.2,0
"77","metJ",1,0,0,0,1,0,0,0,0,0,0
"78","yjjI",0,1,0,0,0,0,0,0,0,0,0
"79","fepD",1,0,0,0,0,0,0,1,0,0,0
"80","znuB",1,0,0,0,0,0,0,0,1,0,0
"81","ybiV",0,1,0,0,0,0,0,0,0,0,0
"82","galP",1,0,0,0.111111111111111,0,0,0,0.333333333333333,0.111111111111111,0.444444444444444,0
"83","ispA",0,1,0,0,0,0,0,0,0,0,0
"84","ypeC",0,1,0,0,0,0,0,0,0,0,0
"85","rplY",1,0,0,0,0.5,0,0,0,0,0.5,0
"86","soxS",1,0,0,0.4,0,0,0,0.5,0,0.1,0
"87","ynfM",0,1,0,0,0,0,0,0,0,0,0
"88","ivy",0,1,0,0,0,0,0,0,0,0,0
"89","pyrS",0,1,0,0,0,0,0,0,0,0,0
"90","ydbK",0,1,0,0,0,0,0,0,0,0,0
"91","rutD",1,0,1,0,0,0,0,0,0,0,0
"92","osmE",1,0,0,0.333333333333333,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0.222222222222222,0
"93","rof",0,1,0,0,0,0,0,0,0,0,0
"94","holB",0,1,0,0,0,0,0,0,0,0,0
"95","ldhA",0,1,0,0,0,0,0,0,0,0,0
"96","rbfA",1,0,0,0.25,0,0,0,0.5,0,0.25,0
"97","proW",1,0,0,0.285714285714286,0,0,0,0.285714285714286,0.285714285714286,0.142857142857143,0
"98","rdgC",0,1,0,0,0,0,0,0,0,0,0
"99","nrdA",1,0,0,0.333333333333333,0,0.166666666666667,0,0.5,0,0,0
"100","evgA",1,0,0.5,0,0,0,0,0,0.5,0,0
"101","hprS",0,1,0,0,0,0,0,0,0,0,0
"102","dcrB",0,1,0,0,0,0,0,0,0,0,0
"103","psiE",1,0,0,0,0.5,0,0,0,0.5,0,0
"104","asnB",1,0,1,0,0,0,0,0,0,0,0
"105","ytfH",0,1,0,0,0,0,0,0,0,0,0
"106","bssS",1,0,0,1,0,0,0,0,0,0,0
"107","treF",0,1,0,0,0,0,0,0,0,0,0
"108","yeaY",0,1,0,0,0,0,0,0,0,0,0
"109","cbl",1,0,0,0,0,0,0.4,0,0.4,0.2,0
"110","pdeC",0,1,0,0,0,0,0,0,0,0,0
"111","yceK",0,1,0,0,0,0,0,0,0,0,0
"112","uspG",0,1,0,0,0,0,0,0,0,0,0
